epoch,link_name,tx,rx,drop
1,US0->CS0,27405,27405,0
1,US0->CS8,27846,27846,0
1,US0->CS16,27378,27378,0
1,US0->CS24,27478,27477,0
1,US0->CS32,27641,27641,0
1,US0->CS40,27991,27991,0
1,US0->CS48,27457,27457,0
1,US0->CS56,27484,27484,0
1,US1->CS1,27458,27458,0
1,US1->CS9,27378,27378,0
1,US1->CS17,26998,26998,0
1,US1->CS25,27876,27876,0
1,US1->CS33,27437,27437,0
1,US1->CS41,27656,27656,0
1,US1->CS49,27529,27529,0
1,US1->CS57,27779,27779,0
1,US2->CS2,27506,27506,0
1,US2->CS10,27876,27876,0
1,US2->CS18,27452,27452,0
1,US2->CS26,27936,27936,0
1,US2->CS34,27534,27534,0
1,US2->CS42,27579,27579,0
1,US2->CS50,27613,27613,0
1,US2->CS58,27580,27580,0
1,US3->CS3,27713,27713,0
1,US3->CS11,27576,27576,0
1,US3->CS19,27739,27739,0
1,US3->CS27,27718,27718,0
1,US3->CS35,27387,27387,0
1,US3->CS43,27680,27680,0
1,US3->CS51,27800,27800,0
1,US3->CS59,27671,27671,0
1,US4->CS4,27701,27701,0
1,US4->CS12,27573,27573,0
1,US4->CS20,27682,27682,0
1,US4->CS28,27250,27250,0
1,US4->CS36,27649,27648,0
1,US4->CS44,27916,27916,0
1,US4->CS52,27724,27724,0
1,US4->CS60,27552,27552,0
1,US5->CS5,27557,27557,0
1,US5->CS13,27678,27678,0
1,US5->CS21,27331,27331,0
1,US5->CS29,27171,27171,0
1,US5->CS37,27257,27257,0
1,US5->CS45,27648,27648,0
1,US5->CS53,27569,27569,0
1,US5->CS61,27226,27226,0
1,US6->CS6,27545,27545,0
1,US6->CS14,27457,27457,0
1,US6->CS22,27401,27401,0
1,US6->CS30,27408,27408,0
1,US6->CS38,27851,27851,0
1,US6->CS46,27697,27697,0
1,US6->CS54,27762,27762,0
1,US6->CS62,27449,27448,0
1,US7->CS7,27456,27456,0
1,US7->CS15,27430,27430,0
1,US7->CS23,27636,27636,0
1,US7->CS31,27336,27336,0
1,US7->CS39,27545,27545,0
1,US7->CS47,27413,27413,0
1,US7->CS55,27651,27651,0
1,US7->CS63,27548,27548,0
1,US8->CS0,0,0,0
1,US8->CS8,0,0,0
1,US8->CS16,0,0,0
1,US8->CS24,0,0,0
1,US8->CS32,0,0,0
1,US8->CS40,0,0,0
1,US8->CS48,0,0,0
1,US8->CS56,0,0,0
1,US9->CS1,0,0,0
1,US9->CS9,0,0,0
1,US9->CS17,0,0,0
1,US9->CS25,0,0,0
1,US9->CS33,0,0,0
1,US9->CS41,0,0,0
1,US9->CS49,0,0,0
1,US9->CS57,0,0,0
1,US10->CS2,0,0,0
1,US10->CS10,0,0,0
1,US10->CS18,0,0,0
1,US10->CS26,0,0,0
1,US10->CS34,0,0,0
1,US10->CS42,0,0,0
1,US10->CS50,0,0,0
1,US10->CS58,0,0,0
1,US11->CS3,0,0,0
1,US11->CS11,0,0,0
1,US11->CS19,0,0,0
1,US11->CS27,0,0,0
1,US11->CS35,0,0,0
1,US11->CS43,0,0,0
1,US11->CS51,0,0,0
1,US11->CS59,0,0,0
1,US12->CS4,0,0,0
1,US12->CS12,0,0,0
1,US12->CS20,0,0,0
1,US12->CS28,0,0,0
1,US12->CS36,0,0,0
1,US12->CS44,0,0,0
1,US12->CS52,0,0,0
1,US12->CS60,0,0,0
1,US13->CS5,0,0,0
1,US13->CS13,0,0,0
1,US13->CS21,0,0,0
1,US13->CS29,0,0,0
1,US13->CS37,0,0,0
1,US13->CS45,0,0,0
1,US13->CS53,0,0,0
1,US13->CS61,0,0,0
1,US14->CS6,0,0,0
1,US14->CS14,0,0,0
1,US14->CS22,0,0,0
1,US14->CS30,0,0,0
1,US14->CS38,0,0,0
1,US14->CS46,0,0,0
1,US14->CS54,0,0,0
1,US14->CS62,0,0,0
1,US15->CS7,0,0,0
1,US15->CS15,0,0,0
1,US15->CS23,0,0,0
1,US15->CS31,0,0,0
1,US15->CS39,0,0,0
1,US15->CS47,0,0,0
1,US15->CS55,0,0,0
1,US15->CS63,0,0,0
1,US16->CS0,0,0,0
1,US16->CS8,0,0,0
1,US16->CS16,0,0,0
1,US16->CS24,0,0,0
1,US16->CS32,0,0,0
1,US16->CS40,0,0,0
1,US16->CS48,0,0,0
1,US16->CS56,0,0,0
1,US17->CS1,0,0,0
1,US17->CS9,0,0,0
1,US17->CS17,0,0,0
1,US17->CS25,0,0,0
1,US17->CS33,0,0,0
1,US17->CS41,0,0,0
1,US17->CS49,0,0,0
1,US17->CS57,0,0,0
1,US18->CS2,0,0,0
1,US18->CS10,0,0,0
1,US18->CS18,0,0,0
1,US18->CS26,0,0,0
1,US18->CS34,0,0,0
